#"Potential Energy (kJ/mole)","Speed (ns/day)"
-26799.78199005446,2.77
-26769.50701680735,2.75
-26726.896054888904,2.74
-26507.935666681566,2.73
-26671.715850450266,2.72
-26490.752067378082,2.71
-26721.86979626813,2.69
-26300.084667966526,2.68
-27212.110612241006,2.67
-27021.620687551753,2.66
-26910.999376270738,2.64
-27034.993564094817,2.63
-26641.891383788505,2.62
-26997.078763378595,2.6
-26674.314699827002,2.59
-26879.071864598773,2.57
-27596.39224923814,2.56
-27593.28992547044,2.55
-27518.385109306728,2.53
-27177.225172891332,2.52
-27168.39577462266,2.51
-27295.272202878237,2.5
-27122.17286040572,2.49
-27050.918000889473,2.48
-27410.028246000817,2.46
-27459.62722845642,2.45
-27569.3805786386,2.44
-26791.84491458741,2.43
-27278.14228711917,2.42
-27101.937575771524,2.41
-27247.93798445793,2.4
-27597.09770268103,2.4
-26768.280884842956,2.39
-27630.118418049777,2.38
-27723.995434839017,2.37
-27608.426215083247,2.36
-27423.237063050386,2.35
-27840.266504834617,2.34
-27281.207306376426,2.33
-27224.958151132123,2.32
-27018.93879967562,2.31
-27658.889971304758,2.3
-27458.377276273066,2.29
-27517.734770405572,2.29
-27260.719265538894,2.28
-26906.066523709473,2.27
-27275.274990046913,2.26
-27493.162320972355,2.25
-27050.51485733525,2.24
-27133.277788770898,2.24
-27058.31609807573,2.23
-27092.60857140953,2.22
-27183.633632659486,2.21
-26937.637963500925,2.2
-26915.922834974932,2.2
-27078.5301194081,2.19
-26503.89674238977,2.18
-26650.980568075487,2.17
-26648.235119473477,2.17
-26729.60193245948,2.16
-26441.465900441293,2.15
-27375.374457130405,2.15
-27132.433322954952,2.14
-26941.78665752897,2.13
-27112.333000493327,2.12
-27411.198326969374,2.12
-27452.975740694543,2.11
-27110.128355545647,2.1
-26959.360364859775,2.1
-26900.60592410341,2.09
-27150.382456885596,2.08
-27161.376191579795,2.08
-27243.468510080704,2.07
-27338.593456258754,2.07
-27520.441088305648,2.06
-27448.749031434065,2.05
-27337.946238439865,2.05
-27272.462972572004,2.04
-27185.615001861173,2.04
-27412.703281818267,2.03
-27254.393283153622,2.02
-27403.265276348,2.02
-26761.031290650062,2.01
-26616.490039358316,2.01
-26646.029361304765,2
-27428.42515166609,2
-27128.410113673603,1.99
-27283.40581304136,1.99
-27089.368333422044,1.98
-27566.998900315106,1.97
-27067.48932109699,1.97
-27378.253917973714,1.96
-27378.63868577427,1.96
-27632.357310706913,1.95
-27449.64573786157,1.95
-26691.669803675322,1.95
-27031.620799027347,1.94
-27052.611578168464,1.94
-26631.263910512076,1.93
-26815.96368969048,1.93
-26950.65906709136,1.92
-27430.038623204393,1.92
-27579.920298497073,1.91
-27554.07554594638,1.91
-27189.440806715265,1.9
-27093.379147975094,1.9
-27316.665579570177,1.9
-27052.80641229014,1.89
-26827.86732044134,1.83
-27049.103070778754,1.83
-27194.94384913046,1.83
-27062.396914824403,1.83
-27398.614379393013,1.83
-27378.525036545514,1.83
-26966.325972227554,1.84
-27236.11586532749,1.84
-26746.1463777213,1.84
-27449.47350835433,1.84
-27384.852573198994,1.56
-27351.28250826233,1.57
-27202.851648379125,1.57
-26770.943732039286,1.57
-26964.00667483611,1.57
-26987.21388856456,1.57
-26797.156889340287,1.57
-26891.232181402756,1.58
-26732.812098842616,1.58
-26562.479608184083,1.58
-26560.769004967515,1.51
-26427.17739158925,1.52
-26913.458610808477,1.52
-26668.556417096537,1.52
-26493.303042107895,1.52
-26517.09107621337,1.52
-26792.02486279436,1.52
-26934.567370164597,1.52
-26831.825099234346,1.53
-27132.91712282379,1.53
-26575.382162725422,1.53
-27333.901506956146,1.53
-27059.62647910156,1.53
-27827.296222798832,1.53
-27423.375123851274,1.53
-27393.085486818574,1.54
-26526.541491704804,1.54
-27269.28878864006,1.47
-27426.135492802387,1.47
-26770.54392855365,1.47
-26927.939441476563,1.48
-26702.40119337811,1.48
-27555.011446188255,1.48
-26692.482232651855,1.48
-26976.461609340757,1.48
-27578.83440062029,1.48
-26960.437050596967,1.48
-27278.10552599712,1.48
-27517.48898381971,1.48
-27586.255296224,1.48
-27818.732488900718,1.48
-27639.382315348288,1.48
-27699.951079110626,1.49
-27237.39274181383,1.49
-26946.21162025916,1.49
-27331.950435345894,1.49
-27074.281131524025,1.49
-27622.20931779459,1.47
-27102.640405884023,1.47
