#"Potential Energy (kJ/mole)","Speed (ns/day)"
-5101.34802047873,0.761
-4763.038192939504,0.763
-4607.196837729822,0.764
-4988.111334467809,0.765
-4666.055865794242,0.766
-4783.551123389847,0.767
-4698.313046691401,0.769
-4865.623396787338,0.77
-4780.032537913157,0.771
-5159.899114911263,0.772
-4535.825367314792,0.773
-4988.947149337808,0.774
-4887.787121596997,0.774
-4764.106914736858,0.775
-4410.486320375341,0.776
-4538.539728029929,0.777
-4810.335441833868,0.778
-4408.339012654782,0.779
-4509.482935480686,0.78
-4593.371040465809,0.781
-4413.941065737163,0.782
-4830.978698214312,0.784
-5228.022892490997,0.785
-4931.8730158847575,0.786
-4672.6652387980575,0.787
-4583.296778127093,0.788
-4939.20517112207,0.789
-4274.117974429457,0.79
-4910.224346161205,0.791
-4433.339595357636,0.792
-4719.13302964747,0.793
-4627.289260247602,0.793
-4814.46035770329,0.794
-4746.768705523304,0.795
-4851.062583021903,0.796
-4976.450975991611,0.797
-5163.546764544029,0.798
-4990.184248885351,0.799
-4998.806101746406,0.8
-5185.192430647159,0.801
-4995.62825170589,0.802
-5140.740106613011,0.803
-4744.303210382906,0.803
-4899.714555271141,0.804
-4997.208263344237,0.805
-5283.285601825293,0.806
-4908.901428046203,0.807
-5143.39797881254,0.808
-5292.724352573197,0.808
-5160.935812032043,0.809
-5058.035985268252,0.81
-5469.3664875997565,0.811
-5227.844295980452,0.812
-4632.383947619041,0.813
-4849.417354073048,0.814
-4565.57225931044,0.815
-4728.8366489547625,0.815
-4628.287959622932,0.816
-4419.8727882481835,0.817
-4789.348063326968,0.818
-4845.3381761109085,0.819
-4649.179802322084,0.82
-4889.9127868415235,0.821
-4970.071478546335,0.821
-4696.7658838673415,0.822
-4812.732064183085,0.823
-4418.8277397554775,0.824
-5112.452069288473,0.825
-4776.243989346764,0.826
-4820.456838054197,0.827
-4912.406760202211,0.827
-4882.051324991822,0.828
-5215.211440305,0.829
-5088.679354292573,0.83
-4981.338370288409,0.831
-5354.424176723383,0.832
-4470.103388118096,0.833
-4401.887155218119,0.834
-4079.7714171596926,0.835
-4226.083309516322,0.835
-4039.9576682032166,0.836
-4387.985019622251,0.837
-4303.0797701210395,0.838
-4261.658933449493,0.839
-4494.636471317761,0.84
-4709.31289760521,0.841
-4615.872995924743,0.842
-4722.129753479629,0.843
-5007.110129053544,0.844
-5025.281705995596,0.845
-4767.610099878049,0.845
-4501.928424809932,0.846
-4892.435714009487,0.847
-5039.63672541242,0.848
-4509.00960115041,0.849
-4266.290568730383,0.85
-4256.252840681391,0.851
-4742.964671372774,0.852
-4686.938029442244,0.853
-4951.5027743746905,0.853
-5091.963712799363,0.854
-5151.894255241408,0.855
-5361.405909332749,0.856
-5377.161011583554,0.857
-4879.102413334684,0.858
-5193.400036500116,0.858
-5033.350104618512,0.859
-5045.327620497068,0.86
-4986.432635706897,0.861
-4597.779806915649,0.862
-5242.646585634418,0.863
-5143.453499544354,0.863
-5221.923619750076,0.864
-5433.398618017112,0.865
-5569.036064316275,0.866
-5195.136892087976,0.867
-5164.414487398506,0.869
-5002.436247176283,0.87
-4855.508551330073,0.871
-4838.567976759419,0.873
-5199.317758917692,0.874
-4873.269679313278,0.875
-4642.003056527959,0.876
-5201.3102867657,0.878
-5152.418460472611,0.879
-5791.804838208554,0.88
-5847.559537148263,0.881
